location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
lake champlain,plattsburgh,new york,July,August,31,2,2014,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/bass-pro-shops-northern-open-2-presented-allstate
lake erie,erie,pennsylvania,August,August,13,13,2006,42.12922409999999,-80.085059,https://www.bassmaster.com/tournaments/liberty-3-erie-bo
neely henry lake,gadsden,alabama,November,November,2,4,2006,34.014264,-86.0066386,https://www.bassmaster.com/tournaments/bassmaster-series-southern-regional-bo
cayuga lake,seneca falls,new york,August,August,16,18,2012,42.9106219,-76.7966215,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-northern-open-3
kinzua reservoir,warren,pennsylvania,June,June,18,18,2006,41.8439486,-79.1450445,https://www.bassmaster.com/tournaments/liberty-1-warren-bo
red river,alexandria,louisiana,September,September,10,10,2006,31.3112936,-92.4451371,https://www.bassmaster.com/tournaments/big-river-4-alexandria-bo
ouachita river basin,west monroe,louisiana,April,April,23,23,2006,32.5184775,-92.14763529999999,https://www.bassmaster.com/tournaments/big-river-2-west-monroe-bo
santee cooper lakes,manning,south carolina,April,April,6,8,2006,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/southern-3-manning
ross barnett reservoir,ridgeland,mississippi,February,February,5,5,2006,32.4284761,-90.1323087,https://www.bassmaster.com/tournaments/big-river-1-ridgeland-bo
chesapeake bay,cecil county,maryland,April,April,16,18,2009,39.5739403,-75.94632399999999,https://www.bassmaster.com/tournaments/2009-northern-open-1
patoka reservoir,jasper,indiana,October,October,26,28,2006,38.3914418,-86.9311094,https://www.bassmaster.com/tournaments/bassmaster-series-northern-regional-bo
kerr reservoir,henderson,north carolina,October,October,27,29,2005,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/bassmaster-series-regionals-2-bo
santee cooper lakes,manning,south carolina,May,May,8,10,2008,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/2008-southern-open-2
1000 islands,clayton,new york,September,September,18,18,2005,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-5-bo
1000 islands,clayton,new york,July,July,10,10,2005,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-3-bo
cayuga lake,seneca falls,new york,June,June,26,26,2005,42.9106219,-76.7966215,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-2-bo
lake of the ozarks,osage beach,missouri,April,April,21,23,1982,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/1982-missouri-invitationalwest
lake bistineau,shreveport,louisiana,February,February,17,19,1982,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/1982-louisiana-invitationalwest
toledo bend reservoir,hemphill,texas,November,November,18,20,1981,31.3407403,-93.846852,https://www.bassmaster.com/tournaments/1981-texas-invitationalwest
cherokee lake,morristown,tennessee,July,July,22,24,1981,36.2139814,-83.29489219999999,https://www.bassmaster.com/tournaments/1981-bass-champs
lake ouachita,mount ida,arkansas,May,May,20,22,1981,34.5567637,-93.6340814,https://www.bassmaster.com/tournaments/1981-arkansas-invitationalwest
lake of the ozarks,osage beach,missouri,April,April,15,17,1981,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/1981-missouri-invitationalwest
toledo bend reservoir,florien,louisiana,February,February,18,20,1981,31.4437889,-93.4573959,https://www.bassmaster.com/tournaments/1981-louisiana-invitationalwest
lake of the ozarks,osage beach,missouri,April,April,23,25,1980,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/1980-missouri-invitationalwest
lake seminole,bainbridge,georgia,February,February,6,9,2002,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/2002-georgia-bassmaster-tour
smith mountain lake,moneta,virginia,November,November,10,11,2006,37.1826516,-79.6195556,https://www.bassmaster.com/tournaments/second-chance-regional-bo
sam rayburn reservoir,sam rayburn,texas,February,February,23,25,1983,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/1983-texas-invitationalwest
lake norman,charlotte,north carolina,October,October,2,4,2014,35.2270869,-80.8431267,https://www.bassmaster.com/tournaments/2014-bass-pro-shops-southern-open-3-presented-allstate
lake gaston,gasburg,virginia,March,March,16,18,1977,36.5669362,-77.8957473,https://www.bassmaster.com/tournaments/1977-virginia-invitational
james river,williamsburg,virginia,July,July,10,10,2005,37.2707022,-76.7074571,https://www.bassmaster.com/tournaments/bassmaster-series-marylandvirginia-4
buggs island reservoir,henderson,north carolina,June,June,19,19,2005,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/bassmaster-series-marylandvirginia-3
smith lake,jasper,alabama,October,October,4,6,2012,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-southern-open-3
lake chickamauga,dayton,tennessee,May,May,23,25,2019,35.4939587,-85.01245349999999,https://www.bassmaster.com/tournaments/2019-bass-pro-shops-eastern-open-lake-chickamauga
albemarle sound,elizabeth city,north carolina,June,June,24,26,1981,36.2946008,-76.2510461,https://www.bassmaster.com/tournaments/1981-north-carolina-invitationaleast-albemarle-sound
lake norman,charlotte,north carolina,March,March,24,26,2011,35.2270869,-80.8431267,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-southern-open-2
james river,richmond,virginia,July,July,9,11,2015,37.5407246,-77.4360481,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-northern-open-1
kissimmee chain of lakes,kissimmee,florida,January,January,20,22,2011,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-southern-open-1
lake murray,columbia,south carolina,May,May,12,15,1993,34.0007104,-81.0348144,https://www.bassmaster.com/tournaments/1993-south-carolina-bassmaster-top-100
lake of the ozarks,lake ozark,missouri,April,April,25,27,1996,38.1986435,-92.6387968,https://www.bassmaster.com/tournaments/1996-missouri-central-invitational
lake erie,sandusky,ohio,September,September,12,14,2013,41.4561754,-82.71168209999999,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-northern-open-3
harris chain of lakes,leesburg,florida,January,January,24,26,2019,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/2019-bass-pro-shops-eastern-open-harris-chain
arkansas river,muskogee,oklahoma,April,April,19,21,2018,35.7478769,-95.3696909,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-central-open-2-arkansas-river
sam rayburn reservoir,jasper,texas,February,February,15,17,1996,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/1996-texas-central-invitational
great sacandaga,mayfield,new york,July,July,23,23,2006,43.13267339999999,-74.24140919999999,https://www.bassmaster.com/tournaments/patriot-2-mayfield-bo
lake oconee,buckhead,georgia,June,June,11,11,2006,33.8372663,-84.406761,https://www.bassmaster.com/tournaments/peach-state-4-buckhead-bo
arkansas river,pine bluff,arkansas,November,November,2,4,1995,34.2284312,-92.00319549999999,https://www.bassmaster.com/tournaments/1995-arkansas-central-invitational
arkansas river,muskogee,oklahoma,September,September,19,21,2013,35.7478769,-95.3696909,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-central-open-2
lake eufaula,eufaula,oklahoma,April,May,29,1,1999,35.2873206,-95.582484600000015,https://www.bassmaster.com/tournaments/oklahoma-invitational-4
kissimmee chain of lakes,kissimmee,florida,February,February,1,3,2018,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-eastern-open-1-kissimmee-chain
james river,richmond,virginia,June,June,13,15,2013,37.5407246,-77.4360481,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-northern-open-1
detroit river,detroit,michigan,August,August,19,21,2010,42.331427,-83.0457538,https://www.bassmaster.com/tournaments/2010-northern-open-2
lake champlain,plattsburg,new york,July,July,22,24,2010,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2010-northern-open-1
lake eufaula,eufaula,alabama,April,April,30,30,2006,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/peach-state-3-eufaula-bo
lake erie,sandusky,ohio,August,August,25,27,2011,41.4561754,-82.71168209999999,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-northern-open-2
west point lake,lagrange,georgia,March,March,19,19,2006,33.0362218,-85.0322444,https://www.bassmaster.com/tournaments/peach-state-2-lagrange-bo
james river,richmond,virginia,July,July,7,9,2011,37.5407246,-77.4360481,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-northern-open-1
lake sinclair,millidgeville,georgia,February,February,19,19,2006,33.0801429,-83.2320991,https://www.bassmaster.com/tournaments/peach-state-1-millidgeville-bo
lake murray,columbia,south carolina,May,May,15,18,2008,34.0007104,-81.0348144,https://www.bassmaster.com/tournaments/2008-elite-series-carolina-clash
lake dardanelle,russellville,arkansas,April,April,30,30,2006,35.2784173,-93.1337856,https://www.bassmaster.com/tournaments/razorback-3-russellville-bo
lake chicot,lake village,arkansas,September,September,24,24,2006,33.3314091,-91.28422119999999,https://www.bassmaster.com/tournaments/razorback-4-lake-village-bo
sardis lake,sardis,mississippi,March,March,26,28,1980,34.4370511,-89.9159227,https://www.bassmaster.com/tournaments/1980-mississippi-invitationalwest
lake ouachita,mt. ida,arkansas,February,February,12,12,2006,34.5567637,-93.6340814,https://www.bassmaster.com/tournaments/razorback-1-mt-ida-bo
east lake toho,kissimmee,florida,January,January,19,21,2006,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2005-bassmaster-series-championship
beaver lake,beaver,arkansas,March,March,26,26,2006,36.47368160000001,-93.76741659999999,https://www.bassmaster.com/tournaments/razorback-2-beaver-bo
red river,natchitoches,louisiana,November,November,3,5,2005,31.7607195,-93.08627489999999,https://www.bassmaster.com/tournaments/bassmaster-series-regionals-3-bo
greers ferry reservoir,greers ferry,arkansas,October,October,2,2,2005,35.57702190000001,-92.1773745,https://www.bassmaster.com/tournaments/bassmaster-series-oklahomaarkansas-5-bo
grand lake,grove,oklahoma,June,June,19,19,2005,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/bassmaster-series-oklahomaarkansas-4
lake degray,arkadelphia,arkansas,March,March,20,20,2005,34.1209292,-93.0537839,https://www.bassmaster.com/tournaments/bassmaster-series-oklahomaarkansas-2-0
lake dardanelle,russellville,arkansas,May,May,11,11,2005,35.2784173,-93.1337856,https://www.bassmaster.com/tournaments/bassmaster-series-oklahomaarkansas-3-0
sam rayburn reservoir,jasper,texas,September,September,16,18,2004,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2004-central-open-2
table rock lake,kimberling city,missouri,September,September,14,17,2006,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/2006-elite-series-rock
clarks hill lake,columbia county,georgia,May,May,1,4,2008,33.5098514,-82.25832969999999,https://www.bassmaster.com/tournaments/2008-elite-series-pride-georgia
lake ouachita,mount ida,arkansas,February,February,27,27,2005,34.5567637,-93.6340814,https://www.bassmaster.com/tournaments/bassmaster-series-oklahomaarkansas-1-0
kentucky lake,kentucky dam village,kentucky,June,June,15,18,2006,36.9982031,-88.2888936,https://www.bassmaster.com/tournaments/2006-elite-series-bluegrass-brawl
lake eufaula,eufaula,alabama,March,March,6,9,2003,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/alabama-tour-pro-1
lake okeechobee,clewiston,florida,December,December,7,10,1988,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/1988-florida-bassmaster-top-100
lake martin,alexander city,alabama,December,December,5,8,1990,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/alabama-top-100-am-0
james river,williamsburg,virginia,April,April,20,22,1983,37.2707022,-76.7074571,https://www.bassmaster.com/tournaments/virginia-invitational-5
kerr reservoir,henderson,north carolina,June,June,11,11,2006,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/tar-heel-2-henderson-bo
mobile delta,mobile,alabama,October,October,18,21,2000,30.6953657,-88.0398912,https://www.bassmaster.com/tournaments/alabama-top-150-pro-2
lake champlain,plattsburgh,new york,August,August,20,22,2009,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2009-northern-open-2
lake wheeler,huntsville,alabama,March,March,8,11,1995,34.7303688,-86.5861037,https://www.bassmaster.com/tournaments/al-top-100-pro-div-0
lake eufaula,eufaula,alabama,March,March,18,20,1981,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/1981-alabama-invitationaleast
st. johns river,welaka,florida,February,February,22,24,1978,29.4791378,-81.67146869999999,https://www.bassmaster.com/tournaments/1978-st-johns-florida-invitational
kentucky lake,benton,kentucky,May,June,31,2,1978,36.85727809999999,-88.350315,https://www.bassmaster.com/tournaments/1978-kentucky-invitational
st. lawrence river,alexandria bay,new york,June,June,21,23,1978,44.3358836,-75.9177309,https://www.bassmaster.com/tournaments/1978-new-york-invitational
lake eufaula,eufaula,alabama,May,May,8,11,2002,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/alabama-tour-pro-0
lake guntersville,guntersville,alabama,April,April,10,13,2002,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2002-alabama-bassmaster-tour
lake champlain,burlington,vermont,September,September,15,18,1999,44.4758825,-73.21207199999999,https://www.bassmaster.com/tournaments/1999-vermont-bassmaster-top-150
atchafalaya basin,morgan city,louisiana,October,October,27,29,2016,29.6993748,-91.20676999999999,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-central-opens-3
arkansas river,muskogee,oklahoma,June,June,2,4,2016,35.7478769,-95.3696909,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-central-open-one
percy priest reservoir,nashville,tennessee,April,April,13,15,1977,36.1626638,-86.7816016,https://www.bassmaster.com/tournaments/1977-bass-champs
potomac river,charles county,maryland,April,April,25,27,2002,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/2002-maryland-eastern-open
lake martin,alexander city,alabama,March,March,7,9,2002,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/2002-alabama-eastern-open
sam rayburn reservoir,jasper,texas,March,March,2,4,2006,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2006-southern-tour-2
st. johns river,palatka,florida,December,December,6,8,2001,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/2001-florida-eastern-open
lake texoma,kingston,oklahoma,September,September,8,10,1976,33.99871,-96.7197216,https://www.bassmaster.com/tournaments/1976-bass-chapter-championship
table rock lake,branson,missouri,October,October,1,3,2015,36.6436731,-93.21851439999999,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-central-open-3
lake amistad,del rio,texas,September,September,27,29,2007,29.3708857,-100.8958674,https://www.bassmaster.com/tournaments/2007-central-open-3
ross barnett reservoir,ridgeland,mississippi,March,March,12,14,2015,32.4284761,-90.1323087,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-central-open-1
neuse and trent rivers,new bern,north carolina,April,April,16,18,1998,35.108493,-77.04411429999999,https://www.bassmaster.com/tournaments/1998-north-carolina-bassmaster-top-100
ouachita river,monroe,louisiana,May,May,1,1,2005,32.5093109,-92.1193012,https://www.bassmaster.com/tournaments/bassmaster-series-louisiana-3
fort gibson lake,wagoner,oklahoma,September,September,10,12,2015,35.9595442,-95.36941159999999,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-central-open-2
lake seminole,bainbridge,georgia,February,February,6,9,2003,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/georgia-tour-pro-0
sam rayburn reservoir,lufkin,texas,March,March,6,8,1974,31.3382406,-94.729097,https://www.bassmaster.com/tournaments/1974-texas-invitational
lake shasta,shasta lake,california,November,November,17,19,2005,40.6804279,-122.3708419,https://www.bassmaster.com/tournaments/2005-western-open-3
columbia river,kennewick,washington,October,October,5,7,2000,46.2086683,-119.119948,https://www.bassmaster.com/tournaments/2000-washington-western-invitational
lake okeechobee,okeechobee city,florida,November,November,18,20,2004,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/2004-southern-open-3
clear lake,lakeport,california,October,October,13,15,2005,39.0429506,-122.9158293,https://www.bassmaster.com/tournaments/2005-western-open-2
lake powell,page,arizona,March,March,9,11,2000,36.91472220000001,-111.4558333,https://www.bassmaster.com/tournaments/1999-2000-western-invitational-3
california delta waterway,bethel island,california,May,May,27,29,2004,38.0149216,-121.6405085,https://www.bassmaster.com/tournaments/2004-western-open-1
lake eufaula,eufaula,alabama,October,October,28,30,2004,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/2004-southern-open-2
tennessee-tombigbee waterway,columbus,mississippi,October,October,14,16,2004,33.4956744,-88.4272627,https://www.bassmaster.com/tournaments/2004-southern-open-1
mississippi river,lacrosse,wisconsin,May,June,30,1,1984,43.8137751,-91.25190169999999,https://www.bassmaster.com/tournaments/1984-wisconsin-invitationalwest
lake guntersville,guntersville,alabama,February,February,26,29,2004,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2004-bassmaster-tour-3
smith lake,jasper,alabama,February,February,5,8,2004,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2004-bassmaster-tour-2
mississippi river,la crosse,wisconsin,May,May,25,27,1983,43.8137751,-91.25190169999999,https://www.bassmaster.com/tournaments/1983-wisconsin-invitationalwest
chesapeake bay,cecil county,maryland,September,September,16,18,2010,39.5739403,-75.94632399999999,https://www.bassmaster.com/tournaments/2010-northern-open-3
kentucky lake,hardin,kentucky,May,May,23,25,1979,36.7647773,-88.2953134,https://www.bassmaster.com/tournaments/kentucky-invitational-0
harris chain of lakes,leesburg,florida,February,February,23,28,1987,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/1987-bass-megabucks
toledo bend reservoir,zwolle,louisiana,February,February,16,18,1977,31.6315626,-93.6440698,https://www.bassmaster.com/tournaments/1977-louisiana-invitational
ross barnett reservoir,ridgeland,mississippi,October,October,17,19,2013,32.4284761,-90.1323087,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-central-open-3
kentucky lake,hardin,kentucky,August,September,31,2,1977,36.7647773,-88.2953134,https://www.bassmaster.com/tournaments/1977-bass-chapter-championship
lake minnetonka,wayzata,minnesota,August,August,23,26,1995,44.97413,-93.5066217,https://www.bassmaster.com/tournaments/1995-minnesota-bassmaster-top-100
lake texoma 0810c3n,denison,texas,October,November,30,1,2008,33.7556593,-96.53665799999999,https://www.bassmaster.com/tournaments/2008-central-open-3
red river,shreveport,louisiana,April,April,25,27,2013,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-central-open-1
kentucky lake,paris,tennessee,September,September,25,27,2008,36.3020023,-88.32671069999999,https://www.bassmaster.com/tournaments/2008-central-open-2
red river,shreveport,louisiana,April,April,24,26,2008,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2008-central-open-1
harris chain of lakes,leesburg,florida,April,April,7,10,1986,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/1986-bass-megabucks
clarks hill reservoir,mccormick,south carolina,September,September,25,27,1974,33.9134577,-82.29345850000001,https://www.bassmaster.com/tournaments/all-american-5
buggs island reservoir,clarksville,virginia,May,May,7,9,1975,36.6240297,-78.55694489999999,https://www.bassmaster.com/tournaments/virginia-invitational-0
lake okeechobee,clewiston,florida,May,May,29,31,1985,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/1985-florida-invitational
table rock lake,kimberling city,missouri,April,April,19,21,2001,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/missouri-invitational-14
lake minnetonka,wayzata,minnesota,August,August,22,24,1996,44.97413,-93.5066217,https://www.bassmaster.com/tournaments/1996-minnesota-bassmaster-top-100
toledo bend reservoir,many,louisiana,March,March,21,23,2002,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/2002-louisiana-central-open
smith lake,jasper,alabama,September,September,28,30,2017,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-southern-open-3
sam rayburn reservoir,jasper,texas,February,February,21,23,2002,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2002-texas-central-open
lake of the ozarks,osage beach,missouri,November,November,8,10,2001,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/2001-missouri-central-open
lake of the ozarks,osage beach,missouri,November,November,9,11,2000,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/missouri-invitational-13
fort gibson lake,wagoner,oklahoma,October,October,11,13,2001,35.9595442,-95.36941159999999,https://www.bassmaster.com/tournaments/2001-oklahoma-central-open
red river,shreveport/bossier city,louisiana,October,October,12,14,2000,32.5159852,-93.7321228,https://www.bassmaster.com/tournaments/louisiana-invitational-5
old hickory lake,hendersonville,tennessee,April,May,27,3,1998,36.3047735,-86.6199957,https://www.bassmaster.com/tournaments/megabucks-boater-2
st. johns river,palatka,florida,February,February,6,8,1974,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/florida-invitational-0
ross barnett reservoir,jackson,mississippi,February,February,12,14,1998,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/1998-mississippi-central-invitational
red river,shreveport/bossier city,louisiana,May,May,18,20,2000,32.5159852,-93.7321228,https://www.bassmaster.com/tournaments/louisiana-invitational-4
table rock lake,kimberling city,missouri,April,April,24,26,1997,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/missouri-inv-1
lake of the ozarks,osage beach,missouri,November,November,13,15,1997,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/missouri-invitational-8
sam rayburn reservoir,jasper,texas,December,December,4,6,1997,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/texas-invitational-13
ross barnett reservoir,jackson,mississippi,December,December,5,7,1996,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/1996-mississippi-central-invitational
sam rayburn reservoir,jasper,texas,February,February,20,22,1997,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/texas-invitational-12
arkansas river,pine bluff,arkansas,October,October,24,26,1996,34.2284312,-92.00319549999999,https://www.bassmaster.com/tournaments/arkansas-invitational-6
chickamauga lake ,dayton,tennessee,April,April,20,22,2017,35.4939587,-85.01245349999999,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-southern-open-2
douglas lake,dandridge,tennessee,May,May,19,21,2016,36.0153693,-83.4148895,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-southern-open-3
harris chain of lakes,leesburg,florida,January,January,19,21,2017,28.810823,-81.87785819999999,https://www.bassmaster.com/2017-bass-pro-shops-southern-open-1
kissimmee chain of lakes,kissimmee,florida,January,January,28,30,2016,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-southern-open-1
smith lake,jasper,alabama,March,April,31,2,2016,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-southern-open-2
lake guntersville,guntersville,alabama,September,September,11,11,2005,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/bassmaster-series-north-alabama-5-bo
weiss lake,cedar bluff,alabama,June,June,12,12,2005,34.2200942,-85.6077402,https://www.bassmaster.com/tournaments/bassmaster-series-north-alabama-4
weiss lake,cedar bluff,alabama,May,May,15,15,2005,34.2200942,-85.6077402,https://www.bassmaster.com/tournaments/bassmaster-series-north-alabama-3-bo
lake wheeler,rogersville,alabama,April,April,24,24,2005,34.8256425,-87.2947417,https://www.bassmaster.com/tournaments/bassmaster-series-north-alabama-2-bo
clarks hill reservoir,mccormick,south carolina,September,September,10,12,1975,33.9134577,-82.29345850000001,https://www.bassmaster.com/tournaments/chapter-championship-1
lake guntersville,guntersville,alabama,March,March,13,13,2005,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/bassmaster-series-north-alabama-1-0
lake sinclair,milledgeville,georgia,March,March,20,20,2005,33.0801429,-83.2320991,https://www.bassmaster.com/tournaments/bassmaster-series-georgia-2
st. lawrence river,clayton,new york,September,September,23,25,1987,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/new-york-invitational-6
lake ouachita,hot springs,arkansas,May,May,18,20,1972,34.5037004,-93.0551795,https://www.bassmaster.com/tournaments/1972-arkansas-national
ross barnett reservoir,jackson,mississippi,September,October,30,2,1971,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/all-american-3
ross barnett reservoir,jackson,mississippi,April,May,30,1,1970,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/rebel-invitational-1
ross barnett reservoir,jackson,mississippi,April,April,18,20,1968,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/1968-rebel-invitational
ross barnett reservoir,jackson,mississippi,May,May,22,24,1969,32.2987573,-90.1848103,https://www.bassmaster.com/tournaments/rebel-invitational-0
lake eufaula,eufaula,alabama,May,May,16,18,1996,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/1996-alabama-eastern-invitational
beaver lake,springdale,arkansas,June,June,6,8,1967,36.18674420000001,-94.1288141,https://www.bassmaster.com/tournaments/1967-all-american
lake lanier,suwanee,georgia,November,December,30,2,1995,34.0514898,-84.0712997,https://www.bassmaster.com/tournaments/1995-georgia-eastern-invitational
potomac river,charles county,maryland,September,September,15,17,1994,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/maryland-invitational-0
santee cooper lakes,manning,south carolina,May,May,4,6,1994,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/1994-south-carolina-invitational
lake of the ozarks,lake ozarks,missouri,April,April,13,15,1994,38.13800030000001,-92.8103551,https://www.bassmaster.com/tournaments/missouri-invitational-6
lake eufaula,eufaula,alabama,March,March,16,18,1994,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/alabama-invitational-9
red river,shreveport/bossier city,louisiana,September,October,29,1,2016,32.5159852,-93.7321228,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-central-opens-2
lake lewisville,lewisville,texas,February,February,24,26,2011,33.046233,-96.994174,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-central-open-1
red river,shreveport,louisiana,June,June,14,16,2007,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2007-central-open-2
lake texoma,denison,texas,October,October,21,23,2010,33.7556593,-96.53665799999999,https://www.bassmaster.com/tournaments/2010-central-open-3
alabama river,prattville,alabama,December,December,1,4,2005,32.4640245,-86.4596966,https://www.bassmaster.com/tournaments/2005-open-championship
lake texoma,denison,texas,March,March,15,17,2007,33.7556593,-96.53665799999999,https://www.bassmaster.com/tournaments/2007-central-open-1
red river,natchitoches,louisiana,November,November,10,12,2005,31.7607195,-93.08627489999999,https://www.bassmaster.com/tournaments/2005-central-open-3
lake norfork,mountain home,arkansas,October,October,13,15,2005,36.3353949,-92.381346,https://www.bassmaster.com/tournaments/2005-central-open-2
sam rayburn reservoir,jasper,texas,May,May,5,7,2005,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2005-central-open-1
buggs island reservoir,south hill,virginia,September,September,15,17,1993,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/virginia-invitational-8
ouachita river,monroe,louisiana,November,November,13,15,2003,32.5093109,-92.1193012,https://www.bassmaster.com/tournaments/2003-central-open-3
st. johns river,welaka,florida,January,January,19,21,1977,29.4791378,-81.67146869999999,https://www.bassmaster.com/tournaments/1977-florida-invitational
sam rayburn reservoir,jasper,texas,October,October,9,11,2003,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2003-central-open-2
alum creek,columbus,ohio,June,June,11,11,2006,39.9611755,-82.99879419999999,https://www.bassmaster.com/tournaments/ohio-valley-3-columbus-bo
potomac river,charles county,maryland,August,August,9,12,2007,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/2007-elite-series-capitol-clash
kissimmee chain,lake wales,florida,March,March,13,16,2008,27.9014133,-81.58590989999999,https://www.bassmaster.com/tournaments/2008-elite-series-citrus-slam
harris chain of lakes,leesburg,florida,March,March,6,9,2008,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/2008-elite-series-sunshine-showdown
