location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
kentucky and barkley lakes,gilbertsville,kentucky,June,June,14,16,2007,37.0244948,-88.3024934,https://www.bassmaster.com/tournaments/2007-wbt-4
lake guntersville,guntersville,alabama,May,May,3,5,2007,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2007-wbt-3
lake dardanelle,lake dardanelle,arkansas,August,August,24,26,2006,35.3754708,-93.4094629,https://www.bassmaster.com/tournaments/2006-wbt-4
neely henry lake,neely henry lake,alabama,April,April,20,22,2006,33.84,-86.06,https://www.bassmaster.com/tournaments/2006-wbt-1
pickwick and wilson lakes,florence,alabama,March,March,19,21,1998,34.79981,-87.677251,https://www.bassmaster.com/tournaments/alabama-top-100-pro-2
lake lewisville,lewisville,texas,October,October,20,22,2005,33.046233,-96.994174,https://www.bassmaster.com/tournaments/2005-wbt-preview
sam rayburn reservoir,sam rayburn,texas,March,March,16,18,1988,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/1988-texas-invitational
kissimmee chain of lakes,kissimmee,florida,December,December,1,3,1982,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/florida-invitational-8
kissimmee chain of lakes,kissimmee,florida,February,February,27,29,1980,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/1980-florida-invitationaleast
table rock lake,kimberling city,missouri,October,October,26,28,2006,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/bassmaster-series-midwest-regional-bo
lake guntersville,guntersville,alabama,May,May,10,12,1989,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/1989-alabama-invitational
lake guntersville,guntersville,alabama,May,May,25,27,1988,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/alabama-invitational-5
lake guntersville,guntersville,alabama,April,May,29,1,1987,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/1987-alabama-invitational
lake okeechobee,clewiston,florida,November,November,4,7,1987,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/1987-florida-bassmaster-top-100
st. lawrence river,alexandria bay,new york,September,September,21,23,1977,44.3358836,-75.9177309,https://www.bassmaster.com/tournaments/1977-new-york-invitational
grand lake o' the cherokees,grove,oklahoma,October,October,5,7,2017,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-central-open-3
lake eufaula,eufaula,alabama,June,June,16,18,1982,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/1982-alabama-invitationaleast
atchafalaya river basin,morgan city,louisiana,October,October,21,23,2004,29.6993748,-91.20676999999999,https://www.bassmaster.com/tournaments/2004-central-open-3
lake eufaula,eufaula,alabama,November,November,14,16,1979,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/1979-alabama-invitationaleast
lake wylie,clover,south carolina,May,May,26,28,1982,35.1112478,-81.2264646,https://www.bassmaster.com/tournaments/1982-south-carolina-invitationaleast
